simulation_second,mmsi,vessel_name,vessel_type,latitude,longitude,speed,course,heading
0,230123456,Baltic Aurora,Cargo,60.0500,24.6300,18.0,86.0,86.0
0,230234567,Nordic Current,Passenger,59.7200,24.7200,21.0,17.0,17.0
0,230345678,Gulf Trader,Tanker,59.9300,25.1600,15.5,276.0,276.0
0,230456789,Harbor Scout,Service,60.0950,24.8900,7.5,107.0,107.0
0,230567890,Silver Skerry,Cargo,59.8000,24.3100,13.0,35.0,35.0
0,230678901,Katajanokka Star,Passenger,60.1300,24.9600,12.4,139.0,139.0
0,230789012,Vuosaari Runner,Container,60.1950,25.2100,16.8,238.0,238.0
0,230890123,Hanko Pilot,Service,59.8150,23.0900,9.3,72.0,72.0
0,230901234,Kotka Meridian,Cargo,60.3350,26.8450,14.7,257.0,257.0
0,230112233,Porvoo Light,Tanker,60.1650,25.5200,11.9,303.0,303.0
0,230223344,Espoo Surveyor,Research,59.9800,24.4400,6.8,45.0,45.0
0,230334455,Loviisa Line,Passenger,60.2850,26.1600,18.5,219.0,219.0
0,230445566,Porkkala Wind,Cargo,59.9000,24.1800,13.6,78.0,78.0
0,230556677,Emasalo Trader,Tanker,60.0600,25.6700,12.7,279.0,279.0
0,230667788,Suomenlinna Ferry,Passenger,60.1450,24.9800,5.2,322.0,322.0
0,230778899,Archipelago One,Cargo,59.7400,23.7200,14.2,48.0,48.0
0,230889900,Gulf Sentinel,Service,60.0100,25.0200,8.1,125.0,125.0
0,230990011,Baltic Pioneer,Ro-Ro,59.8800,24.9500,19.1,335.0,335.0
0,230101112,Eastern Horizon,Cargo,60.2100,26.4800,15.9,245.0,245.0
0,230121314,Western Beacon,Fishing,59.6900,23.5200,7.4,32.0,32.0
60,230123456,Baltic Aurora,Cargo,60.0501,24.6412,18.2,87.1,87.1
60,230234567,Nordic Current,Passenger,59.7315,24.7230,21.2,18.1,18.1
60,230345678,Gulf Trader,Tanker,59.9297,25.1494,15.7,277.1,277.1
60,230456789,Harbor Scout,Service,60.0917,24.8989,7.7,108.1,108.1
60,230567890,Silver Skerry,Cargo,59.8088,24.3189,13.2,36.1,36.1
60,230678901,Katajanokka Star,Passenger,60.1238,24.9666,12.6,140.1,140.1
60,230789012,Vuosaari Runner,Container,60.1903,25.1998,17.0,239.1,239.1
60,230890123,Hanko Pilot,Service,59.8179,23.1027,9.5,73.1,73.1
60,230901234,Kotka Meridian,Cargo,60.3326,26.8326,14.9,258.1,258.1
60,230112233,Porvoo Light,Tanker,60.1681,25.5102,12.1,304.1,304.1
60,230223344,Espoo Surveyor,Research,59.9845,24.4442,7.0,46.1,46.1
60,230334455,Loviisa Line,Passenger,60.2782,26.1546,18.7,220.1,220.1
60,230445566,Porkkala Wind,Cargo,59.9020,24.1909,13.8,79.1,79.1
60,230556677,Emasalo Trader,Tanker,60.0609,25.6589,12.9,280.1,280.1
60,230667788,Suomenlinna Ferry,Passenger,60.1467,24.9778,5.4,323.1,323.1
60,230778899,Archipelago One,Cargo,59.7467,23.7303,14.4,49.1,49.1
60,230889900,Gulf Sentinel,Service,60.0056,25.0267,8.3,126.1,126.1
60,230990011,Baltic Pioneer,Ro-Ro,59.8882,24.9422,19.3,336.1,336.1
60,230101112,Eastern Horizon,Cargo,60.2063,26.4707,16.1,246.1,246.1
60,230121314,Western Beacon,Fishing,59.6956,23.5236,7.6,33.1,33.1
120,230123456,Baltic Aurora,Cargo,60.0503,24.6525,17.9,88.2,88.2
120,230234567,Nordic Current,Passenger,59.7431,24.7261,20.9,19.2,19.2
120,230345678,Gulf Trader,Tanker,59.9294,25.1388,15.4,278.2,278.2
120,230456789,Harbor Scout,Service,60.0885,24.9079,7.4,109.2,109.2
120,230567890,Silver Skerry,Cargo,59.8176,24.3278,12.9,37.2,37.2
120,230678901,Katajanokka Star,Passenger,60.1176,24.9732,12.3,141.2,141.2
120,230789012,Vuosaari Runner,Container,60.1856,25.1896,16.7,240.2,240.2
120,230890123,Hanko Pilot,Service,59.8208,23.1154,9.2,74.2,74.2
120,230901234,Kotka Meridian,Cargo,60.3302,26.8202,14.6,259.2,259.2
120,230112233,Porvoo Light,Tanker,60.1712,25.5004,11.8,305.2,305.2
120,230223344,Espoo Surveyor,Research,59.9890,24.4484,6.7,47.2,47.2
120,230334455,Loviisa Line,Passenger,60.2714,26.1492,18.4,221.2,221.2
120,230445566,Porkkala Wind,Cargo,59.9040,24.2018,13.5,80.2,80.2
120,230556677,Emasalo Trader,Tanker,60.0618,25.6478,12.6,281.2,281.2
120,230667788,Suomenlinna Ferry,Passenger,60.1484,24.9756,5.1,324.2,324.2
120,230778899,Archipelago One,Cargo,59.7534,23.7406,14.1,50.2,50.2
120,230889900,Gulf Sentinel,Service,60.0012,25.0334,8.0,127.2,127.2
120,230990011,Baltic Pioneer,Ro-Ro,59.8964,24.9344,19.0,337.2,337.2
120,230101112,Eastern Horizon,Cargo,60.2026,26.4614,15.8,247.2,247.2
120,230121314,Western Beacon,Fishing,59.7012,23.5272,7.3,34.2,34.2
180,230123456,Baltic Aurora,Cargo,60.0504,24.6638,18.0,89.3,89.3
180,230234567,Nordic Current,Passenger,59.7546,24.7291,21.0,20.3,20.3
180,230345678,Gulf Trader,Tanker,59.9291,25.1282,15.5,279.3,279.3
180,230456789,Harbor Scout,Service,60.0853,24.9168,7.5,110.3,110.3
180,230567890,Silver Skerry,Cargo,59.8264,24.3367,13.0,38.3,38.3
180,230678901,Katajanokka Star,Passenger,60.1114,24.9798,12.4,142.3,142.3
180,230789012,Vuosaari Runner,Container,60.1809,25.1794,16.8,241.3,241.3
180,230890123,Hanko Pilot,Service,59.8237,23.1281,9.3,75.3,75.3
